,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_7,p2_8,p1_crowns,p2_crowns
0,Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,The Log,Skeletons,Graveyard,Ice Wizard,Baby Dragon,Barbarian Barrel,Tombstone,Knight,Tornado,Poison,0,1
1,Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,The Log,Skeletons,Wall Breakers,Valkyrie,Electro Wizard,Bats,Inferno Tower,The Log,Poison,Miner,1,0
2,Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Golem,Tornado,Night Witch,Baby Dragon,Executioner,Barbarian Barrel,Lightning,Goblin Cage,1,2
3,Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Elixir Golem,Zap,Tornado,Night Witch,Executioner,Goblin Cage,Mega Knight,Rocket,0,1
4,Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Giant Snowball,Musketeer,Giant,Barbarian Barrel,Poison,Dark Prince,Night Witch,Graveyard,3,0
5,Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Mega Knight,Royal Giant,Executioner,Tornado,Lightning,Ice Spirit,Skeletons,The Log,3,0
6,Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Giant,Zap,Archers,Mega Minion,Fireball,Graveyard,Tombstone,Skeleton Army,3,1
7,Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Mini P.E.K.K.A,Princess,Ice Golem,Dart Goblin,Goblin Gang,Ram Rider,Freeze,The Log,1,0
8,Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,Zap,Skeletons,1,0
9,Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Zap,Goblin Gang,Miner,Bats,Dart Goblin,Wall Breakers,Executioner,Mega Knight,2,0
10,Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Zap,P.E.K.K.A,Executioner,Ice Spirit,Skeletons,Royal Giant,Tornado,Lightning,1,0
11,Giant Snowball,Barbarian Barrel,Bandit,Inferno Dragon,Ram Rider,Magic Archer,Ice Golem,Lumberjack,Magic Archer,Executioner,Skeletons,Night Witch,Elixir Golem,Rocket,The Log,Tornado,2,1
12,Giant Snowball,Barbarian Barrel,Bandit,Inferno Dragon,Ram Rider,Magic Archer,Ice Golem,Lumberjack,Skeletons,Wall Breakers,Miner,Valkyrie,Bats,Bomb Tower,The Log,Magic Archer,0,1
